well_id,original_id,name,country,admin_1,admin_2,admin_3,admin_4,locality,latitude,longitude,elevation,yield,well_depth,operation_status,drilling_end_date,source_1,source_2,source_3,last_update,first_struck_level,second_struck_level,third_struck_level,fourth_struck_level,fifth_struck_level,water_rest_level,ec,ph,temperature
,C3039,,Kenya,Marsabit,,,,Jadesa,2.2159195193882266,38.16617691,547,,,Operational,,,,,,,,,,,,611,8.45,25.8
,,,Kenya,Marsabit,,,,Jadesa,2.208965035845703,38.18609008401229,542,,,New,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Rahma/muslim,2.2917309624354987,38.05688016867037,987,10,,Operational,,,,,,,,,,,,793,8.38,23.5
,,,Kenya,Marsabit,,,,Kalare,2.2177093897972258,37.89025235420903,1086,,,Dry,,,,,10/30/2014,,,,,,,,,
,,,Kenya,Marsabit,,,,Kavarera Girls,2.211990524191888,37.89949111162254,1073,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Parakishon,2.2567154964802607,37.89290264473865,1212,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Hulahula,2.319320968145323,37.94221421,1343,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Hulahula Spring,2.320574902898964,37.949740044898206,1354,,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Kalare/ Kula pesa,2.2106922621467384,37.88113101027594,1069,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Kalare/Gulsan,2.187685311627321,37.87531264831551,1033,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Parakishon/ Dispe,2.2692440693443667,37.881967798192846,1137,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Parakishon,2.187685311627321,37.87531264831551,1033,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Kamboe/ Logologo,2.1042825264124523,37.89510897381761,790,,,Dry,,,,,10/31/2014,,,,,,,,,
,,,Kenya,Marsabit,,,,Kelesua/ Baragoi,1.927923913018737,36.96958324279855,1120,,,Operational,,,,,,,,,,,,5570,6.86,"31,3"
,,,Kenya,Marsabit,,,,Arsim Maternity,1.7852838855360769,37.20148689848161,934,,,Not Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Arsim springs,2.078067923384671,36.27757763146676,944,,,Operational,,,,,,,,,,,,90,9,28
,,,Kenya,Marsabit,,,,Nkurnt Springs,1.7348507809573177,37.28682703906527,830,,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Nairabola/ Arge,2.030031888718728,36.95713829680391,964,5,,Operational,,,,,,,,,,,,1585,7.95,30
,,,Kenya,Marsabit,,,,Lapikutuk/ Arge,2.105231366513874,37.00024337,894,,,Not Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Lapikutuk/ Arge,2.1038826080391746,36.99904079591772,896,4,,Operational,,,,,,,,,,,,7940,7.02,30
,,,Kenya,Marsabit,,,,Tungu/Arge,2.088427715041401,36.9828746,942,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,South Horr Springs,2.101566768872446,36.908967059157945,1079,,,Operational,,,,,,,,,,,,187,8.37,27
,,,Kenya,Marsabit,,,,Partukutukai/ Sirima,2.474410650741032,36.82878562897403,722,,,Operational,,,,,,,,,,,41.2,1740,4.8,33
,,,Kenya,Marsabit,,,,Sirma/Natele,2.516138388,36.767962507288686,649,,,Operational,,,,,,,,,,,92.55,,,
,,,Kenya,Marsabit,,,,Partukutukai/ Bh(2),2.4915132625299243,36.82198022188686,713,,,Faulty,,,,,,,,,,,27.33,,,
,,,Kenya,Marsabit,,,,Sirma,2.506365023749217,36.81005464063991,706,,,Not Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Sirma Village,2.5242755862510573,36.805494390980826,692,,,Not Operational,,,,,,,,,,,35.6,,,
,,,Kenya,Marsabit,,,,Kangimongin/ Sirma,2.5407357841249447,36.804019464283314,689,,,Not Operational,,,,,,,,,,,42.05,,,
,,,Kenya,Marsabit,,,,Sirma Laga(2),2.529735769605242,36.78418182146157,669,,,Not Operational,,,,,,,,,,,52.5,,,
,,,Kenya,Marsabit,,,,Sirma Nyiro,2.486389404373446,36.79619145615197,737,,,Not Operational,,,,,,,,,,,56.77,,,
,,,Kenya,Marsabit,,,,Sirma Laga(1),2.498001500479138,36.78263541853921,667,,,Not Operational,,,,,,,,,,,63.69,,,
