well_id,original_id,name,country,admin_1,admin_2,admin_3,admin_4,locality,latitude,longitude,elevation,yield,well_depth,operation_status,drilling_end_date,source_1,source_2,source_3,last_update
,11364910309,,,Garissa,,,,,0.79978,39.46294,,,,closed,,,,,
,11364910312,,,Garissa,,,,,-0.48334,39.65328,,,,operational,,,,,
,11364910318,,,Garissa,,,,,-0.02337,40.13377,,,,operational,,,,,
,11364910322,,,Garissa,,,,,0.65505,39.57952,,,,closed,,,,,
,11648878500,,,,,,,,-2.06415,40.16265,-6,,,needs maintenance,,,,,
,11648878530,,,,,,,,-2.0296,40.15818,6.8,,,needs maintenance,,,,,
,11648878533,,,,,,,,-1.20475,39.99619,70.2,,,needs maintenance,,,,,
,11648878537,,,,,,,,-2.45596,40.19391,27,,,operational,,,,,
,11648878545,,,,,,,,-1.91049,40.12509,-1.1,,,needs maintenance,,,,,
,11648878555,,,,,,,,-0.70487,39.79989,178.6,,,closed,,,,,
,11648878556,,,,,,,,-1.98034,40.14587,0.8,,,needs maintenance,,,,,
,11648878576,,,,,,,,-0.46496,39.63517,182.6,,,operational,,,,,
,11648878589,,,,,,,,-2.50386,40.25615,-24.7,,,operational,,,,,
,11664720025,,,,,,,,-3.1772,39.93294,12.3,,,needs_maintenance,,,,,
,11664720041,,,,,,,,-3.12838,39.63368,48.9,,,operational,,,,,
,11664720055,,,,,,,,-3.17773,39.93256,12.1,,,operational,,,,,
,11664742110,,,,,,,,-3.16138,39.80001,111.43,,,operational,,,,,
,11664742116,,,,,,,,-3.17778,39.95456,18,,,needs_maintenance,,,,,
,11664742118,,,,,,,,-3.16468,39.60666,138.87,,,operational,,,,,
,11664742121,,,,,,,,-3.24041,40.01273,34.7,,,operational,,,,,
,11664742130,,,,,,,,-3.19712,40.08842,39.3,,,operational,,,,,
,11664742153,,,,,,,,-3.18285,39.96095,26.8,,,operational,,,,,
,11664742164,,,,,,,,-3.12722,39.78001,86.8,,,operational,,,,,
,11664742167,,,,,,,,-3.18275,39.94907,37.6,,,operational,,,,,
,11664742168,,,,,,,,-3.19552,40.00404,9.1,,,operational,,,,,
,11664742169,,,,,,,,-3.13829,39.90581,52.5,,,operational,,,,,
,11664742183,,,,,,,,-3.17278,40.11941,-55.11,,,operational,,,,,
,11664742189,,,,,,,,-3.1968,40.08797,30.1,,,operational,,,,,
,11664742192,,,,,,,,-3.18229,39.98309,20.3,,,operational,,,,,
,11364872358,,,Garissa,,,,,0.90775,39.31257,,,,operational,,,,,
,11364872359,,,Garissa,,,,,0.34534,40.017,,,,operational,,,,,
,11364872364,,,Garissa,,,,,0.07611,40.09694,,,,operational,,,,,
,11364910269,,,Garissa,,,,,-0.02302,40.13329,,,,operational,,,,,
,11364910275,,,Garissa,,,,,0.55822,39.55744,,,,needs_maintenance,,,,,
,11364910278,,,Garissa,,,,,0.90738,39.31275,,,,operational,,,,,
